prod_state_idx,action_idx,value_old,value_new,abs_diff,rel_change
40,3,0.0000000000,1.0000000000,1.0000000000,inf
60,0,1.0000000000,0.0900000000,0.9100000000,-0.910000
84,3,0.7573961219,0.1729351247,0.5844609972,-0.771671
64,3,0.0947368421,0.6394263158,0.5446894737,5.749500
88,0,0.7927006852,0.5955399592,0.1971607260,-0.248720
68,3,0.0089750693,0.1118772299,0.1029021606,11.465333
44,6,0.0000000000,0.0900000000,0.0900000000,inf
80,0,0.0947368421,0.0085263158,0.0862105263,-0.910000
92,6,0.7239550663,0.6415717360,0.0823833303,-0.113796
198,8,0.5792320746,0.5279295278,0.0513025468,-0.088570
168,3,0.0000000000,0.0510821053,0.0510821053,inf
192,0,0.0000000000,0.0470145640,0.0470145640,inf
178,2,0.5213088672,0.4751365750,0.0461722922,-0.088570
59,1,0.0000000000,0.0454929785,0.0454929785,inf
98,5,0.0734243330,0.1149129883,0.0414886553,0.565053
78,2,0.0660818997,0.1034216895,0.0373397898,0.565053
158,2,1.7618701268,1.7337996552,0.0280704716,-0.015932
58,7,1.9389636609,1.9128050359,0.0261586250,-0.013491
38,3,1.4094961015,1.3870397241,0.0224563774,-0.015932
188,3,0.0000000000,0.0132823047,0.0132823047,inf
72,3,0.0008502697,0.0110488955,0.0101986258,11.994577
172,3,0.0000000000,0.0084393573,0.0084393573,inf
149,0,0.0000000000,0.0072000000,0.0072000000,inf
164,3,0.0000000000,0.0072000000,0.0072000000,inf
99,7,0.0000000000,0.0063281011,0.0063281011,inf
199,8,0.0000000000,0.0056866223,0.0056866223,inf
179,2,0.0000000000,0.0051179601,0.0051179601,inf
73,0,0.0000000000,0.0047234842,0.0047234842,inf
138,6,0.1761870127,0.1733799655,0.0028070472,-0.015932
77,3,0.0000000000,0.0012925611,0.0012925611,inf
93,3,0.0000000000,0.0012925611,0.0012925611,inf
76,6,0.0000850270,0.0011048895,0.0010198625,11.994572
49,3,0.0000000000,0.0009000000,0.0009000000,inf
176,3,0.0000000000,0.0008439357,0.0008439357,inf
184,0,0.0000000000,0.0006821053,0.0006821053,inf
53,3,0.0000000000,0.0006570000,0.0006570000,inf
69,3,0.0000000000,0.0006570000,0.0006570000,inf
159,1,0.0000000000,0.0005686622,0.0005686622,inf
173,6,0.0000000000,0.0005176421,0.0005176421,inf
177,3,0.0000000000,0.0001416505,0.0001416505,inf
193,6,0.0000000000,0.0001416505,0.0001416505,inf
153,3,0.0000000000,0.0000720000,0.0000720000,inf
169,6,0.0000000000,0.0000720000,0.0000720000,inf
57,3,0.0000000000,0.0000622421,0.0000622421,inf
89,3,0.0000000000,0.0000622421,0.0000622421,inf
157,3,0.0000000000,0.0000068211,0.0000068211,inf
189,6,0.0000000000,0.0000068211,0.0000068211,inf
